03.12.2018 RGB-PI Database for MAME 2010 (0.139) by @Fran_Tron

Name, H pixels, Scanlines, Frame Rate, H position, H zoom, V position, 
H Front Porch, H Sync, H Back Porch, V Sync, H Frequency, Core, Orientation.

Name          :  Name of game(zip) to launch.
H pixels      :  Horizontal resolution.
Scanlines     :  Vertical resolution of the game, number of lines of the game.
Frame Rate    :  Frame Rate of the game in Hz.

H Position    :  Horizontal Position, use this value to move screen horizontally.
H Zoom        :  Horizontal Zoom, use this value to zoom/unzoom horizontal screen.
V Position    :  Vertical Position, use this value to move screen vertically.

H Front Porch :  Horizontal Front Porch
H Sync        :  Horizontal Synchronisation
H Back Porch  :  Horizontal Back Porch
V Sync        :  Vertical  Synchronisation
H Frequency   :  Horizontal Frequency, can be tweaked to force 625 lines mode (e.g. 15840 at 55Hz)

Core          :  Libretro core to use.
Orientation   :  Game Orientation, can be HORIZONTAL(H) or VERTICAL(V).

eagle 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
eagle2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
eagle3 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
spctbird 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
skybase 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
checkman 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
checkmanj 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
dingo 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
dingoe 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
blkhole 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
kingball 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
kingballj 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
scorpionmc 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
frogg 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
4in1 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
bagmanmc 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
dkongjrm 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
ozon1 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
ladybugg 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
vpool 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
drivfrcg 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
drivfrcb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
bongo 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
hunchbkg 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
harem 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
tazzmang 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
racknrol 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
hexpool 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
hexpoola 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
trvchlng 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
luctoday 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
chewing 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
catacomb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
ckongg 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
ckongmc 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
porter 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
vstars 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
tdpgal 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
rockclim 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
scramble 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
scrambles 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
scramblebf 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
scramblb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
scramb2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
explorer 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
strfbomb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
atlantis 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
atlantis2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
theend 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
theends 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
omega 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
ckongs 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
froggers 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
frogf 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
amidars 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
triplep 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
knockout 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mariner 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
800fath 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mars 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
devilfsh 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
newsin7 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mrkougar 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mrkougar2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mrkougb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mrkougb2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
hotshock 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
hotshockb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
conquer 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
hunchbks 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
hncholms 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
cavelon 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
sfx 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
skelagon 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
monsterz 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
mimonscr 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mimonkey 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mimonsco 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
scobra 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
scobras 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
scobrase 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
scobrab 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
suprheli 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
stratgyx 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
stratgys 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
strongx 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
armorcar 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
armorcar2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
moonwar 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
moonwara 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
spdcoin 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
darkplnt 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
tazmania 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
tazmani2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
calipso 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
anteater 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
anteatg 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
anteatgb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
rescue 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
aponow 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
minefld 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
losttomb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
losttombh 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
superbon 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
hustler 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
billiard 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
hustlerb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
hustlerb2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
frogger 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
froggers1 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
froggers2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
froggermc 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
amidar 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
amidaru 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
