22.01.2019 RGB-PI Database for FBA 0.2.97.44 (0.197) by @Fran_Tron

Name, H pixels, Scanlines, Frame Rate, H position, H zoom, V position, 
H Front Porch, H Sync, H Back Porch, V Sync, H Frequency, Core, Orientation.

Name          :  Name of game(zip) to launch.
H pixels      :  Horizontal resolution.
Scanlines     :  Vertical resolution of the game, number of lines of the game.
Frame Rate    :  Frame Rate of the game in Hz.

H Position    :  Horizontal Position, use this value to move screen horizontally.
H Zoom        :  Horizontal Zoom, use this value to zoom/unzoom horizontal screen.
V Position    :  Vertical Position, use this value to move screen vertically.

H Front Porch :  Horizontal Front Porch
H Sync        :  Horizontal Synchronisation
H Back Porch  :  Horizontal Back Porch
V Sync        :  Vertical  Synchronisation
H Frequency   :  Horizontal Frequency, can be tweaked to force 625 lines mode (e.g. 15840 at 55Hz)

Core          :  Libretro core to use.
Orientation   :  Game Orientation, can be HORIZONTAL(H) or VERTICAL(V).

aceattaca 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
acitya 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
acrobatm 1920 224 56.180000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
actfancr 1920 240 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
actfancr1 1920 240 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
actfancr2 1920 240 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
actfancrj 1920 240 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
ad2083 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
aeroboto 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
aerofgt 1920 224 61.310000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
aerofgtb 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
aerofgtc 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
afighter 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
afightera 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
afighterb 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
afighterc 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
afighterd 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
afightere 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
afighterf 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
afighterg 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
afighterh 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
agallet 1920 240 57.550645 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
agalleta 1920 240 57.550645 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
agalletah 1920 240 57.550645 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
